countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
AL,Albania,106078,Albanien,1432783,Hotel Piazza,ThreeStar,Bulevard Elez Isufi 8301 Peshkopi ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Monastery St. Jovan Bigorski - 45.7 km / 28.4 mi <br /> </p><p>The preferred airport for Piazza Hotel is Nene Tereza Intl. Airport (TIA) - 118.1 km / 73.4 mi </p>,"<p>HeadLine : In Peshkopi</p><p>Location : When you stay at Piazza Hotel in Peshkopi, you ll be 28.4 mi (45.7 km) from Monastery St. Jovan Bigorski.  This hotel is within the region of Mount Korab.</p><p>Rooms : Make yourself at home in one of the 21 air-conditioned rooms featuring fireplaces and flat-screen televisions. Rooms have private balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include refrigerators, and housekeeping is provided daily.</p><p>Dining : Stop by the hotel s restaurant for lunch or dinner. Dining is also available at the coffee shop/cafe, and room service (during limited hours) is provided. Wrap up your day with a drink at the bar/lounge. A complimentary continental breakfast is served daily from 7:30 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",355-218-24616,Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Free continental breakfast Luggage storage Free breakfast Multilingual staff 24-hour front desk Playground on site Daily Snack bar/deli Number of coffee shops/cafes - 1 Laundry facilities Dry cleaning/laundry service Free WiFi Number of bars/lounges - 1 Designated smoking areas Braille or raised signage Garden Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Concierge services Terrace Free self parking,41.685219|20.428046,355-218-24616,8301,http://www.hotelpiazza.al/
AL,Albania,106078,Albanien,1432788,Hotel Globi,ThreeStar,Aleks Nika 4020 Velipoja ,,,,,41.86808|19.4311,,4020,https://www.booking.com/hotel/al/globi.html
AL,Albania,106078,Albanien,1433588,Hotel Italia,ThreeStar,Sotir Kolea Nr 10 1000 Tirana ,,,,,41.32037|19.82935,068 222 5207,1000,https://www.booking.com/hotel/al/italia.html
AL,Albania,106078,Albanien,1433795,Hotel Holiday Velipoje,ThreeStar,Rruga Shkoder-Velipoje Velipoja ,,"Stop at Hotel Holiday Velipoje to discover the wonders of Velipoje. The property features a wide range of facilities to make your stay a pleasant experience. All the necessary facilities, including free Wi-Fi in all rooms, 24-hour security, luggage storage, Wi-Fi in public areas, car park, are at hand. Guestrooms are designed to provide an optimal level of comfort with welcoming decor and some offering convenient amenities like cleaning products, clothes rack, linens, mirror, private entrance. The hotel offers various recreational opportunities. Hotel Holiday Velipoje combines warm hospitality with a lovely ambiance to make your stay in Velipoje unforgettable.",,Wi-Fi in public areas shared lounge/TV area Restaurant Luggage storage Laundry service free Wi-Fi in all rooms family room elevator dry cleaning designated smoking area Currency exchange car park Bar,41.866268158|19.423530579,,4020,
AL,Albania,106078,Albanien,1433835,Hotel Boutique Las,FiveStar,Rr.Liman Kaba N.16 Tirana .Albania TIRANA .ALBANIA 1019 TiraneTirane ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Selman Stermasi Stadium - 0.7 km / 0.4 mi <br /> Grand Park of Tirana - 0.8 km / 0.5 mi <br /> Artificial Lake Park Playground - 0.9 km / 0.5 mi <br /> Artificial Lake of Tirana - 1.1 km / 0.7 mi <br /> University of Tirana - 1.3 km / 0.8 mi <br /> Palace of Congress - 1.3 km / 0.8 mi <br /> Former Residence of Enver Hoxha - 1.4 km / 0.8 mi <br /> Congress Building - 1.4 km / 0.9 mi <br /> Air Albania Stadium - 1.5 km / 0.9 mi <br /> Enver Hoxha Pyramid - 1.6 km / 1 mi <br /> Catholic Church of St. Marie - 1.6 km / 1 mi <br /> Pyramid - 1.7 km / 1.1 mi <br /> Regency Casino - 1.8 km / 1.1 mi <br /> Ministry of Defense - 2 km / 1.2 mi <br /> Orthodox Church of the Holy Evangelist - 2 km / 1.2 mi <br /> </p><p>The preferred airport for Hotel Boutique Las is Nene Tereza Intl. Airport (TIA) - 18.7 km / 11.6 mi </p>,"<p>HeadLine : Near Selman Stermasi Stadium</p><p>Location : A stay at Hotel Boutique Las places you in the heart of Tirana, within a 5-minute drive of University of Tirana and Palace of Congress.  This 5-star hotel is 1.2 mi (2 km) from Pyramid and 1.4 mi (2.3 km) from Municipality of Tirana.</p><p>Rooms : Treat yourself to a stay in one of the 11 individually decorated guestrooms, featuring fireplaces and flat-screen televisions. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at Las, a restaurant which specializes in local and international cuisine, or stay in and take advantage of the room service (during limited hours). Relax with your favorite drink at the bar/lounge or the poolside bar. A complimentary buffet breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",355-44-500326,Terrace Conference space Laundry facilities Snack bar/deli Smoke-free property Safe-deposit box at front desk Outdoor seasonal pool Barbecue grill(s) Daily Water dispenser 24-hour front desk Multilingual staff Outdoor tennis courts - 1 Free breakfast Luggage storage Free Buffet Breakfast Airport transportation - pickup (surcharge) Accessible bathroom (in select rooms) Wheelchair accessible parking In-room accessibility (in select rooms) Garden Number of poolside bars - 1 Number of bars/lounges - 1 Free WiFi Limo or Town Car service available Television in common areas Conference space size (meters) - 98 Number of meeting rooms - 1 Free long-term parking Dry cleaning/laundry service,41.31459|19.80909,+355684008410,1019,http://www.thelashotel.com/index.php?lang=en|https
AL,Albania,106078,Albanien,1436914,Hotel Gjilani,All,Rr. Ilia Xhokaxhi 1001 Tirane ,,,,,41.3461|19.83723,,1001,https://www.booking.com/hotel/al/gjilani.html
AL,Albania,106078,Albanien,1436928,Hotel Eliza,ThreeStar,Rruga Stavri Themeli Villa 4 4 Rruga E Kavajes 50M After Globe Center Tirana ,,"Located 2.5 km from Tirana city centre, Hotel Eliza offers a garden, terrace and bar. The hotel is 2.2 km from Skenderberg Square, 2.1 km from the Vodafone Tower and 2.1 km from the National Arts Gallery.

All rooms are air-conditioned and feature a flat-screen TV, desk and wardrobe, while one also has a balcony. The private bathroom includes a bath or shower.

A continental or full English breakfast is provided each morning at Hotel Eliza. Guests can also relax with a drink in the bar. Restaurants are located within walking distance of the property.

Additional features include free WiFi access throughout and free public parking is possible on site. Tirana Airport is 12 km away and luggage storage is available at the accommodation. Please inform Hotel Eliza in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",,Street parking Children television networks Parking onsite Daily housekeeping Television in common areas Airport transportation (surcharge) Area shuttle (surcharge) Terrace Air conditioning Free WiFi Free WiFi Luggage storage Heating Internet access Free self parking Ironing service Laundry facilities Airport shuttle Non-smoking rooms Terrace Garden Free newspapers in lobby 24-hour front desk Bar/lounge Room service,41.32468|19.79236,+35542264987,1001,https://www.booking.com/hotel/al/eliza-tirane.html
AL,Albania,106078,Albanien,1437034,Hotel Onufri,FourStar,Mali i Robit Golem ,,"Set in Golem, 600 metres from Mali I Robit Beach, Hotel Onufri offers accommodation with a garden, free private parking, a restaurant and a bar. This 4-star hotel offers a 24-hour front desk and free WiFi. The hotel features family rooms.

A buffet breakfast is available every morning at the hotel.

Golem Beach is 1.4 km from Hotel Onufri, while Qerret Beach is 1.5 km away. The nearest airport is Tirana International Mother Teresa Airport, 41 km from the accommodation.",,Swimming pool Beach Swimming pool Wheelchair accessible Private parking parking on site Daily housekeeping 24-hour front desk Bar Restaurant Parking Beachfront Air conditioning Free WiFi Outdoor pool wifi lift internet services Free parking Ironing service Family rooms Facilities for disabled guests dry cleaning Laundry Non-smoking rooms Garden,41.23821|19.52234,+355693792421,2504,http://www.hotel-onufri.com
AL,Albania,106078,Albanien,1437669,Sunshine Hotel,ThreeStar,Shkembi i Kavajes 2001 Durres ,,"SUNSHINE HOTEL is a family hotel located next to the sea in Shkembi i Kavajes, 5 minutes south of Durres city. 
All the rooms offer fantastic view over the sea.
We offer in our price one umbrella and 2 sunbeds on the beach for all the rooms. Set on the beachfront in Shkallnur, Sunshine Hotel Durres offers air-conditioned rooms that feature a furnished balcony with sea views. Free WiFi access is available.

All rooms come with a flat-screen satellite TV, a fridge and a wardrobe. Each unit comprises a private bathroom fitted with a shower that also includes a bathrobe, bidet and hairdryer.

Durres Sunshine Hotel runs a 24-hour front desk and also offers an on-site bar and a garden. Free private parking is also available on site.

The centre of Durres is 10 km away, while the Durres Amphitheatre is some 11 km from the property. Tirana Airport is located at a distance of 38 km away. Swimming pool is closed from Wed 01 May 2019 until Mon 30 Sept 2019",,Private parking Parking onsite Daily housekeeping Mini-market on site Airport transportation (surcharge) Area shuttle (surcharge) Outdoor seasonal pool Snack bar/deli On private beach Air conditioning Free WiFi Outdoor pool Free WiFi Shopping on site Heating Elevator/lift Internet access Ironing service Family rooms Dry cleaning/laundry service Laundry facilities Airport shuttle Non-smoking rooms Garden Bar/lounge Free self parking,41.27508|19.51584,,2001,https://www.booking.com/hotel/al/sunshine-durres.html
AL,Albania,106078,Albanien,1437938,Hotel Tradita,ThreeStar,Bulevardi Bajram Curri TiranaTirana County ,,,,,41.32031|19.80063,,0001,https://www.booking.com/hotel/al/tradita.html
AL,Albania,106078,Albanien,1437939,Hotel Vila Aleksander,FourStar,Rruga Kol Myzeqari pas Bankes se ShqiperiseLagja MangalemBerat ,,,,,40.70644|19.95004,,5002,https://www.booking.com/hotel/al/vila-aleksander.html
AL,Albania,106078,Albanien,1489982,Rafaelo Shengjin Hotel,FourStar,KOMPLEKSI RAFAELO SHENGJIN ,,"The warm sea water and the light breeze turns the location of our beach in an oasis of vacation, freshness and greenery. Rafaelo Hotel Complex offers two accommodation possibilities, in the section Rafaelo 1 and 3.",,Hotel,41.80905|19.598942,,4503,http://rafaeloresort.com
AL,Albania,106078,Albanien,1507626,Old Town Rooms,OneStar,RRUGA XHORXHI MARTINI 5 TIRANA ,Palace of Culture: within 1000 metre  National Theatre: within 650 metre  The National Library: within 450 metre ,"This property is beautifully located at the heart of Tirana. The hotel lies close to many of the city's most prominent attractions. The centre of the city is just a 2 minutes' walking distance away. The property is located within easy access of many places of interest, including the National Library and the National Museum and Theatre. A wealth of shopping, dining and entertainment venues can be found nearby. Links to the public transport network can be found close to the property. The property comprises beautifully-designed guest rooms, which are well equipped with modern amenities. Guests can sit back on the terrace, with a refreshing cocktail, and admire the stunning city views.",,Hotel MasterCard Visa Bathroom Shower Hairdryer Toiletries TV Minibar Wake-up service Laundry service Multilingual staff Currency exchange facilities Bar Restaurant Breakfast buffet,41.3282609|19.824115600000027,,1001,http://www.oldtownrooms-tirana.com/
AL,Albania,106078,Albanien,1509079,Lugano Hotel,ThreeStar,Street Mihal Duri 34 1001 Tirana ,,"Situated in Tirana, within 1.2 km of Skanderbeg Square and 6 km of Dajti Ekspres Cable Car, Lugano Hotel features accommodation with a terrace and as well as free private parking for guests who drive. Featuring a bar, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. Guests can have a drink at the snack bar.

At the hotel, rooms are fitted with a desk and a TV. The rooms have a wardrobe.

Speaking English and Italian at the 24-hour front desk, staff are willing to help at any time of the day.

Popular points of interest near Lugano Hotel include Former Residence of Enver Hoxha, House of Leaves and National Museum of History Albania. The nearest airport is Tirana International Airport Mother Teresa, 13 km from the accommodation, and the property offers a paid airport shuttle service.",0038118526210,Airport shuttle Private check-in/check-out Snack Bar Parking Fax/photocopying Bar Laundry On-site parking Free parking shuttle service (additional charge) 24-hour front desk airport shuttle (additional charge) Ironing service Terrace Free WiFi internet services Heating wifi Daily housekeeping Private parking Air conditioning Non-smoking rooms,41.32909|19.81273,00381 18200760,1000,https://www.booking.com/hotel/al/lugano.html
AL,Albania,106078,Albanien,1520599,Hotel Rex,ThreeStar,Rruga Fortuzi Tirana ,,"Featuring a bar, shared lounge, garden and free WiFi, Hotel Rex is set in Tirana, 1.1 km from Skanderbeg Square and 5 km from Dajti Ekspres Cable Car. The property is situated 2.8 km from National Sport Park Resort, 1.1 km from Rinia Park and 1.2 km from Ethem Bey Mosque. The accommodation offers a 24-hour front desk, room service and currency exchange for guests.

At the hotel all rooms come with air conditioning, a seating area, a flat-screen TV with satellite channels, a safety deposit box and a private bathroom with a bidet, slippers and a hairdryer. At Hotel Rex rooms have bed linen and towels.

The accommodation offers a continental or buffet breakfast.

Popular points of interest near Hotel Rex include Former Residence of Enver Hoxha, House of Leaves and National Museum of History Albania. The nearest airport is Tirana International Airport Mother Teresa, 13 km from the hotel, and the property offers a paid airport shuttle service.",,delivered food is securely covered breakfast takeaway containers guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized property is cleaned by professional cleaning companies physical distancing rules followed contactless check-in/check-out first aid kit available hand sanitizer in guest accommodation and key areas shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities physical distancing in dining areas guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus bicycle rental Fire extinguishers CCTV outside property CCTV in common areas Security alarm 24-hour security Tour or class about local culture Walking tours Currency exchange Valet parking express check-in/check-out internet services Free parking Ironing service breakfast in the room Family rooms Barber/beauty shop dry cleaning Airport shuttle Non-smoking rooms Garden Newspapers 24-hour front desk Bar Room service Parking Luggage storage Fax/photocopying Heating Tour desk Car hire gift shop Kid-friendly buffet wifi available in all areas parking on site grocery deliveries Daily housekeeping minimarket on site shared lounge/TV area Lockers airport shuttle (additional charge) shuttle service (additional charge) Private check-in/check-out Snack Bar designated smoking area Air conditioning Non-smoking throughout Free WiFi wifi shops on site,41.33091|19.81238,,2222,https://www.booking.com/hotel/al/rex.html
AL,Albania,106078,Albanien,1522587,Hotel Dragoi Mbreteror,ThreeStar,rruga peshkatareve-vilun 4020 VelipojaShkoder ,,,,,41.86362|19.43998,+355673510404,4020,https://www.booking.com/hotel/al/rooms-dragoi-mbreteror.html
AL,Albania,106078,Albanien,1523186,Hotel Opera,FourStar,Rruga Urani Pano 1016 Tirana Albania 1016 TiranaAlbania ,,"The elegant Hotel Opera is set in Tirana and features an on-site restaurant and free WiFi available throughout the property. The hotel is just steps away from Skenderberg Square and from the the National Museum and the National Theatre of Opera and Ballet.

Each room at this hotel is air conditioned and has a flat-screen TV. Some rooms include a seating area where you can relax. Rooms are equipped with a private bathroom equipped with a shower. For your comfort, you will find slippers and free toiletries.

There is a 24-hour front desk at the property. Opera Hotel also offers a meeting and conference room fitted with state of the art equipment.

Just steps away you will find the Tirana Municipal Hall, the Ministries Square and business centres. The nearest airport is Tirana Airport, 13 km from Hotel Opera. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.",0035544500383,breakfast takeaway containers guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized property is cleaned by professional cleaning companies invoice provided screens or physical barriers placed between staff and guests in appropriate areas physical distancing rules followed cashless payment available contactless check-in/check-out guest accommodation sealed after cleaning guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus Fire extinguishers Walking tours Shuttle service Fruits Wine/champagne Accessible parking Parking garage Kid-friendly buffet Private parking Daily housekeeping airport shuttle (additional charge) shuttle service (additional charge) concierge service Air conditioning Non-smoking throughout Free WiFi wifi Luggage storage Fax/photocopying Heating Tour desk Car hire Soundproof rooms Currency exchange Safety Deposit Box express check-in/check-out lift internet services Free parking Ironing service breakfast in the room Family rooms dry cleaning Laundry Airport shuttle Non-smoking rooms 24-hour front desk meeting/banquet facilities Parking first aid kit available process in place to check health of guests hand sanitizer in guest accommodation and key areas shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities food can be delivered to guest accommodation physical distancing in dining areas,41.33058|19.81837,0035544500383,1016,https://www.booking.com/hotel/al/opera.html
AL,Albania,106078,Albanien,1523319,Zig Zag hostel,All,Nikolla Lena 100 1001 TiranaAlbania ,,,,,41.32458|19.80646,+355692569845,1001,https://www.booking.com/hotel/al/hostel-zig-zag.html
AL,Albania,106078,Albanien,1524113,Trip'n'Hostel,All,Rr.Musa Maci Nr.1 1001 TiranaAlbania ,,,,,41.33177|19.82562,+355683048905,1008,https://www.booking.com/hotel/al/trip-n-hostel.html
AL,Albania,106078,Albanien,1526735,Hotel Gega,ThreeStar,Rruga Antipatrea Lagjja 10 Korriku Lagjja 10 Korriku Berat5001 Berat ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Cobo Winery - 0.8 km / 0.5 mi <br /> Ethnographic Museum - 1.1 km / 0.7 mi <br /> Onufri Museum - 1.7 km / 1.1 mi <br /> Berat Castle - 1.7 km / 1.1 mi <br /> Kalasa - 1.8 km / 1.1 mi <br /> Mangalem Quarter - 1.8 km / 1.1 mi <br /> Churches & Chapels - 1.8 km / 1.1 mi <br /> Chapel of St Michael - 1.8 km / 1.1 mi <br /> Tomorri Mountain National Park - 20.2 km / 12.6 mi <br /> Mount Shpirag - 23.4 km / 14.5 mi <br /> Sotira s Waterfall - 40.5 km / 25.1 mi <br /> Nativity of the Virgin Ardenica Orthodox Monastery - 49.9 km / 31 mi <br /> </p><p>The preferred airport for Hotel Gega is Nene Tereza Intl. Airport (TIA) - 119.2 km / 74.1 mi </p>,"<p>HeadLine : Near Cobo Winery</p><p>Location : A stay at Hotel Gega places you in the heart of Berat, within a 15-minute walk of Cobo Winery and Ethnographic Museum.  This hotel is 1.3 mi (2.1 km) from Berat Castle and 1.9 mi (3 km) from Onufri Museum.</p><p>Rooms : Make yourself at home in one of the 26 air-conditioned rooms featuring refrigerators and flat-screen televisions. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms with showers feature complimentary toiletries and bidets. Conveniences include safes, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, or stay in and take advantage of the room service. Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is served daily from 8 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",355-69-5384435,Safe-deposit box at front desk Daily Number of bars/lounges - 1 Free WiFi Free wired Internet 24-hour front desk Meeting rooms Free breakfast Luggage storage Airport transportation (surcharge) Dry cleaning/laundry service Free Buffet Breakfast Free self parking elevator Free newspapers in lobby Laundry facilities Wheelchair accessible parking Smoke-free property,40.702297|19.958881,+355 69 538 4435,9701,
AL,Albania,106078,Albanien,1527577,Guesthouse Pension Andrea,TwoStar,Rr.Jeronin De Rada 103 1001 Tirana ,,,+355(0)42256 947,,41.32687|19.8251,069 209 4915,1001,https://www.booking.com/hotel/al/pension-andrea.html
AL,Albania,106078,Albanien,1527593,Hotel Kalaja,ThreeStar,Rrugica Mbrica Lagja Kala5001 Berat ,,"Located in Berat, Hotel Kalaja offers 3-star accommodation with a bar. With a terrace, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. There is free private parking and the property provides paid airport shuttle service.

At the hotel, each room comes with a wardrobe. At Hotel Kalaja every room comes with bed linen and towels.

A continental breakfast is available daily at the accommodation.

Guests at Hotel Kalaja will be able to enjoy activities in and around Berat, like cycling.

The nearest airport is Tirana International Mother Teresa Airport, 117 km from the hotel. Please inform Hotel Kalaja in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.",,staff follow all safety protocols as directed by local authorities guest accommodation sealed after cleaning linens  towels and laundry washed in accordance with local authority guidelines Outdoor furniture Street parking wifi available in all areas Private parking parking on site minimarket on site airport shuttle (additional charge) Special diet menus (on request) designated smoking area Air conditioning Non-smoking throughout Free WiFi wifi Luggage storage Horse riding Heating Tour desk Cycling Hiking Currency exchange Safety Deposit Box internet services Free parking Ironing service Family rooms Laundry Airport shuttle Non-smoking rooms Terrace Bar Parking,40.70992|19.94556,,5001,https://www.booking.com/hotel/al/kalaja-berat.html
AL,Albania,106078,Albanien,1527601,Guesthouse Albion,ThreeStar,Rruga Skenderbeu Rruga Kristal2504 Golem ,,,,,41.23639|19.5212,,2504,https://www.booking.com/hotel/al/villa-albion.html
AL,Albania,106078,Albanien,1530506,Merlin Park Resort,All,The Circle Of Mullet Tirana ,,"Located in Mullet, Merlin Park Resort features a seasonal outdoor swimming pool and garden. Featuring a 24-hour front desk, this property also has a restaurant and a terrace. The accommodation offers free WiFi.

At the resort, each room is fitted with a desk, a flat-screen TV and a private bathroom. At Merlin Park Resort all rooms come with a seating area.

An Italian breakfast is available every morning at the accommodation.

Tirana is 13 km from Merlin Park Resort. The nearest airport is Tirana International Mother Teresa Airport, 29 km from the resort.",,Kids  outdoor play equipment Private parking Parking onsite Special diet menus (on request) Nightclub Outdoor seasonal pool Terrace Air conditioning Free WiFi Outdoor pool Free WiFi Packed lunches Internet access Bridal suite Breakfast service VIP room facilities Non-smoking rooms Terrace Garden 24-hour front desk Bar/lounge Meeting rooms Room service Pets allowed Restaurant Free self parking,41.26414|19.86547,,1034,https://www.booking.com/hotel/al/merlin-park-resort.html
AL,Albania,106078,Albanien,1532443,Hotel Garden,All,Rruga Elbasan Pogredac XibrakeElbasan ,,,+35544315554,,41.165265804355|20.198925116644,+35544315554,,http://www.hotelgarden.al
AL,Albania,106078,Albanien,1564408,Prince Hotel,FourStar,Rruga Kastriotet 1001 Tirana ,,"Opened in 2010, this modern hotel is 4 km from the centre of Tirana. It offers free Wi-Fi and spacious rooms with air conditioning and LCD satellite TVs.

All rooms at the Prince Hotel feature a minibar and a bathroom with hairdryer.

The restaurant serves Albanian and international cuisine. Guests can relax in the bar and on the terrace. Room service is also available.

Free private parking is available on site. Various shops are nearby, and a bus stop is just 50 metres away from Hotel Prince. Please inform Prince Hotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,wifi available in all areas Private parking parking on site Private check-in/check-out Air conditioning Free WiFi wifi Luggage storage Fax/photocopying Packed lunches Currency exchange express check-in/check-out lift internet services Free parking Ironing service breakfast in the room Family rooms Laundry Non-smoking rooms Terrace 24-hour front desk Bar meeting/banquet facilities Room service shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities food can be delivered to guest accommodation guest accommodation is disinfected between stays use of cleaning chemicals that are effective against coronavirus Restaurant Parking all plates  cutlery  glasses and other tableware have been sanitized property is cleaned by professional cleaning companies screens or physical barriers placed between staff and guests in appropriate areas cashless payment available contactless check-in/check-out first aid kit available hand sanitizer in guest accommodation and key areas,41.34836|19.77318,,1001,https://www.booking.com/hotel/al/prince.html
AL,Albania,106078,Albanien,1564543,Natea Apartments,All,"Ne qender te Tiranes Tek Posta ShqiptareTirana City Center,near Posta Shqiptare1000 Tirana ",,"Natea Apartments features rooms with free WiFi in Tirana, well located 500 metres from Skanderbeg Square. The property is located 5 km from Dajti Express. Local points of interest like Sky Tower and National Sport Park are reachable within less than 1 km and 5 km, respectively.

All guest rooms at the hotel come with a seating area and a flat-screen TV. The private bathroom is equipped with a bidet. Guest rooms feature a desk.

Natea Apartments offers a terrace.

National Theatre of Opera and Ballet is 1.3 km from the accommodation, while National Arts Gallery is 1.6 km from the property. The nearest airport is Tirana International Mother Teresa Airport, 19 km from Natea Apartments. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.",,24-hour security Tour or class about local culture Bike tours Walking tours Private parking parking on site Daily housekeeping Airport shuttle Non-smoking rooms Terrace shared lounge/TV area Shared kitchen airport shuttle (additional charge) shuttle service (additional charge) Air conditioning Free WiFi wifi Bowling 24-hour front desk Cycling Car hire Parking Packed lunches Hiking Library Bicycle rental (additional charge) internet services Ironing service Family rooms Laundry,41.32759|19.81451,,1000,https://www.booking.com/hotel/al/shtepi-me-qera-ditore.html
AL,Albania,106078,Albanien,1564569,Hotel Akropoli,All,Rruga Ali Bakiu Street Prane ish-DoganesTirane ,,"Set in Tirana, 5.2 km from Skanderbeg Square, Hotel Akropoli offers accommodation with a garden, free private parking, a restaurant and a bar. The property is around 8.5 km from Dajti Ekspres Cable Car, 6.2 km from Former Residence of Enver Hoxha and 40 km from Rock of Kavaje. The accommodation features a 24-hour front desk, airport transfers, room service and free WiFi throughout the property.

All guest rooms at the hotel come with a seating area, a flat-screen TV with satellite channels and a private bathroom with a hairdryer and a bidet. Hotel Akropoli provides some units with city views, and all rooms have a balcony.

The daily breakfast offers continental, Full English/Irish or Italian options.

Bike hire and car hire are available at this hotel and the area is popular for cycling.

National Museum of History Albania is 4.4 km from the accommodation, while House of Leaves is 4.6 km from the property. The nearest airport is Tirana International Mother Teresa Airport, 11 km from Hotel Akropoli.",,coffee house on site Pet bowls Pet basket Auditory guidance airport drop off airport pick up Fruits Wine/champagne Emergency cord in bathroom Accessible parking Public transport tickets Street parking secured parking Kid-friendly buffet Kid meals kids' outdoor play equipment food can be delivered to guest accommodation physical distancing in dining areas guest accommodation sealed after cleaning guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus bicycle rental Fire extinguishers CCTV outside property Smoke alarms Security alarm Key access 24-hour security Shuttle service face masks for guests available thermometers for guests provided by property delivered food is securely covered breakfast takeaway containers guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized property is cleaned by professional cleaning companies invoice provided physical distancing rules followed cashless payment available contactless check-in/check-out first aid kit available process in place to check health of guests hand sanitizer in guest accommodation and key areas shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities board games/puzzles wifi available in all areas Private parking parking on site Daily housekeeping Evening entertainment airport shuttle (additional charge) Special diet menus (on request) shuttle service (additional charge) Private check-in/check-out Snack Bar designated smoking area Air conditioning Free WiFi Allergy-free room wifi Luggage storage Heating Tour desk Cycling Car hire Packed lunches BBQ facilities Soundproof rooms Currency exchange express check-in/check-out internet services Free parking Ironing service breakfast in the room Family rooms Facilities for disabled guests dry cleaning Laundry babysitting/child services Airport shuttle Non-smoking rooms Garden 24-hour front desk Bar Room service Pets allowed Restaurant Parking,41.33828|19.78426,,1001,https://www.booking.com/hotel/al/akropoli-tirana1.html
